Ticker,Rank,Decile,Momentum,Volatility,marketCap,sector
JBL,1.0,1,0.2978096857212478,0.0248983506260892,23400136704.0, Information Technology
ORCL,2.0,1,0.2907025643209631,0.027210552860631974,600780636160.0, Information Technology
WHR,3.0,1,0.2361378320677272,0.02832386101305085,5373793280.0, Consumer Discretionary
WDC,4.0,1,0.22963895397160417,0.03051255255781788,22120609792.0, Information Technology
PENN,5.0,1,0.22184766907976927,0.03294730399528659,2737666048.0, Consumer Discretionary
LRCX,6.0,1,0.2126896071976372,0.03286106632639358,125059555328.0, Information Technology
RBLX,7.0,1,0.21137035867187492,0.02884201302334194,71599661056.0, Communication
EL,8.0,1,0.21075432301948038,0.03235864095745297,29202870272.0, Consumer Staples
FERG,9.0,1,0.2067137607329308,0.022737733247542028,43968294912.0, Industrials
NKE,10.0,1,0.19999008774437677,0.02795464838564931,106832150528.0, Consumer Discretionary
DAR,11.0,1,0.19560337774550174,0.02820398994456933,5894586368.0, Consumer Staples
KLAC,12.0,1,0.19359735667003908,0.03094036477233868,119385186304.0, Information Technology
OLLI,13.0,1,0.19286685477397492,0.026571327843588996,8178609152.0, Consumer Discretionary
NUE,14.0,1,0.19097471095715268,0.02595600243143363,30051858432.0, Materials
IRDM,15.0,1,0.18876458787251194,0.027382763383022236,3254534400.0, Communication
DKNG,16.0,1,0.18673357200352503,0.030101649745858678,21166600192.0, Consumer Discretionary
GXO,17.0,1,0.18595045307180502,0.02916924808524826,5583647232.0, Industrials
RCL,18.0,1,0.18514314936584153,0.028245350712145068,82581372928.0, Consumer Discretionary
IONS,19.0,1,0.18458081301664486,0.026366990734719816,6323387392.0, Health Care
AMAT,20.0,1,0.1779266308749501,0.030589690601642277,148177240064.0, Information Technology
SPOT,21.0,1,0.1753164488430261,0.0274478023071407,160710590464.0, Communication
DG,22.0,1,0.17424164210616166,0.030108530996384344,25131008000.0, Consumer Staples
MTSI,23.0,1,0.170421889643108,0.03246818068830724,10587657216.0, Information Technology
NET,24.0,1,0.16697810024810145,0.032514480490856895,66985844736.0, Information Technology
CASY,25.0,1,0.16081869592011455,0.018715235003556784,18893897728.0, Consumer Staples
ST,26.0,1,0.16001535540105016,0.029661474476730173,4422346752.0, Industrials
GNRC,27.0,1,0.15765985168626617,0.02467642749131444,8364772864.0, Industrials
JLL,28.0,1,0.15608439597291301,0.02234447071885074,12234999808.0, Real Estate
DASH,29.0,1,0.15360653721206674,0.024507473717441434,102050267136.0, Consumer Discretionary
CCL,30.0,1,0.15330754551905712,0.031076225771886318,36344360960.0, Consumer Discretionary
BLD,31.0,1,0.15095968171707086,0.026655199263442206,9307719680.0, Consumer Discretionary
AYI,32.0,1,0.150563592903586,0.021121875420018914,9163407360.0, Industrials
PINS,33.0,1,0.1486660208698638,0.031712706696154606,24182614016.0, Communication
OSK,34.0,1,0.14678896259927665,0.025848309103944152,7331452416.0, Industrials
ILMN,35.0,1,0.14652241445480851,0.026762181322846038,14918983680.0, Health Care
WWD,36.0,1,0.14651223499818689,0.022565345686455428,14770603008.0, Industrials
ZS,37.0,1,0.1457743948564878,0.027917176074555877,49241972736.0, Information Technology
FCX,38.0,1,0.14566007299673123,0.02823234011536584,63300513792.0, Materials
BWXT,39.0,1,0.1430016431747927,0.02234134127359216,13113914368.0, Industrials
DKS,40.0,1,0.13695414523649885,0.028659974429038837,16209939456.0, Consumer Discretionary
TXN,41.0,1,0.13292311656813194,0.024793191121436013,188199059456.0, Information Technology
SCCO,42.0,1,0.13227360479687578,0.024535768408935083,82698387456.0, Materials
BRKR,43.0,1,0.13213180176862793,0.028156244800156854,6294639616.0, Health Care
SNX,44.0,1,0.13066599196341921,0.020766226975231748,11223040000.0, Information Technology
MTDR,45.0,1,0.13002796587402377,0.028979783908016317,6082361856.0, Energy
IBM,46.0,1,0.12871536144117046,0.017603167309601413,271504752640.0, Information Technology
TKO,47.0,1,0.1285225166796502,0.019928432760631956,14540428288.0, Communication
AZTA,48.0,1,0.12761975804796566,0.031422603363432916,1378661632.0, Health Care
META,49.0,1,0.12669060934009546,0.023434305150952767,1834681499648.0, Communication
DINO,50.0,1,0.1262108337610306,0.024780708882847603,7672996864.0, Energy
VAC,51.0,1,0.1260249464749208,0.03034133522228224,2569080832.0, Consumer Discretionary
DDOG,52.0,1,0.12580598749563698,0.025662097499870983,45866328064.0, Information Technology
FTI,53.0,1,0.12536117927662938,0.02602896667092731,14696108032.0, Energy
IQV,54.0,1,0.12370840435997077,0.021940138209774047,27256150016.0, Health Care
NVT,55.0,1,0.12226440419185347,0.028784188186579206,12174831616.0, Industrials
EMR,56.0,1,0.11995309117343966,0.020232408664774163,75217494016.0, Industrials
EME,57.0,1,0.11917727100691589,0.02689135137691652,23647664128.0, Industrials
TPR,58.0,1,0.1162620037679194,0.02666510363485339,18189490176.0, Consumer Discretionary
CBRE,59.0,1,0.11626136956484201,0.019772305358383997,41616945152.0, Real Estate
ADI,60.0,1,0.11621434753450499,0.026397120763362973,117950701568.0, Information Technology
DLTR,61.0,1,0.11577660869617401,0.03140833692151743,21033426944.0, Consumer Staples
WCC,62.0,1,0.11537881176318354,0.028325460980598908,9104818176.0, Industrials
LLYVK,63.0,1,0.11446204870220811,0.02105726097440031,7461681664.0, Communication
BSY,64.0,1,0.1137253608764961,0.017781544494851045,16109530112.0, Information Technology
BEPC,65.0,1,0.11194287117563295,0.02320154672209187,5838870528.0, Utilities
ETN,66.0,1,0.11118043169504843,0.024116625519127802,139334090752.0, Industrials
