Ticker,Quantity
CASH,4970.3653128147125
MRVL,1.0
CLF,15.0
PENN,6.0
ALGM,3.0
MP,3.0
SNDK,2.0
LITE,1.0
GRAL,2.0
W,2.0
ON,2.0
WDC,1.0
WHR,1.0
QS,15.0
BF-B,-4.0
PVH,-1.0
TAP,-2.0
GME,-4.0
DOCU,-1.0
SRPT,-6.0
BF-A,-4.0
FRPT,-1.0
SJM,-1.0
WOLF,-244.0
PCG,-8.0
DJT,-6.0
KVUE,-5.0
AAON,-1.0
MKSI,1.0
MCHP,1.0
CAG,-5.0
