Ticker,Quantity
CASH,50951.520000000004
BIIB,-28.0
TER,-41.0
PLTR,25.0
AXON,4.0
APP,10.0
GEV,7.0
UI,9.0
SAIA,-13.0
ELF,-29.0
HOOD,45.0
MCHP,-52.0
MSTR,9.0
SMCI,-80.0
MRNA,-140.0
