Ticker,Quantity
CASH,5357.074073076248
MRVL,1.0
EL,1.0
ALGM,3.0
SNDK,2.0
GRAL,2.0
WDC,1.0
DAR,3.0
QS,15.0
DOW,-4.0
SRPT,-6.0
HUN,-11.0
FRPT,-1.0
NFE,-50.0
WOLF,-244.0
AAP,-2.0
ETSY,-2.0
DJT,-6.0
SEG,-6.0
ROKU,1.0
DKNG,2.0
BBWI,3.0
CCL,4.0
WBD,10.0
NKE,1.0
TAP,-2.0
TRIP,-9.0
FTRE,-23.0
KBR,-2.0
CAG,-5.0
CIVI,-4.0
