Ticker,Quantity
CASH,4794.405010223389
NUE,1.0
EL,1.0
PENN,7.0
LRCX,1.0
RBLX,1.0
WDC,2.0
DAR,3.0
WHR,1.0
OLLI,1.0
DKNG,3.0
BF-B,-5.0
KMB,-1.0
PVH,-2.0
TAP,-2.0
BF-A,-5.0
FRPT,-2.0
CLX,-1.0
SJM,-1.0
PCG,-9.0
KVUE,-6.0
CAG,-6.0
GXO,3.0
IRDM,4.0
NKE,2.0
